,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
718,2022-06-20 23:33:23+00:00,https://twitter.com/Obikoya11/status/1539028669615771648,Obikoya11,Twitter Web App,"UCH, Ibadan, Nigeria.","I am glad to embark on this amazing journey with @TheOyinbooke on #NG30DaysOfLearning. I have successfully created a profile on @github.
This is the link to my github profile: https://t.co/zfxwloJMmO

Thank you @TheOyinbooke .",0,0,0,0
719,2022-06-20 23:16:47+00:00,https://twitter.com/datacyborg/status/1539024492776804352,datacyborg,Twitter for iPhone,,While exploring as instructed by @TheOyinbooke I found out this feature on excel available. #30DaysOfLearning https://t.co/DbzPnZf1nG,48,3,0,9
720,2022-06-20 22:37:04+00:00,https://twitter.com/Zuba6Zubair/status/1539014497398145026,Zuba6Zubair,Twitter for iPhone,Nigeria,"Today I earned my ""Get started with Microsoft data analytics"" trophy! I’m so proud to be celebrating this achievement and hope this inspires you to start your own @MicrosoftLearn journey!

 https://t.co/LDJOiHSd97 #MSLearnTrophy #NG30DaysOfLearning",1,1,0,0
721,2022-06-20 22:10:17+00:00,https://twitter.com/dee_kepo/status/1539007759315787777,dee_kepo,Twitter for iPhone,"Ibadan, Nigeria",I concluded the first week in #30DaysOfLearning data analysis track with @TheOyinbooke. Follow this link to see the dashboard I created 😊 https://t.co/8WVwXwBaUJ,1,0,0,0
722,2022-06-20 21:57:42+00:00,https://twitter.com/TheOyinbooke/status/1539004592024965125,TheOyinbooke,Twitter Web App,Nigeria,"#30DaysOfLearning is creating similar force needed to move you forward. Are you just taking it like any other training or can you see the vehicle for your career progression through it? or are you even taking it at all?
Are you waiting till when there will be a need ....",10,2,0,1
723,2022-06-20 20:50:06+00:00,https://twitter.com/OlaitanHazeem1/status/1538987577994354694,OlaitanHazeem1,Twitter for Android,,The result of #NG30DaysOfLearning first week. I can't imagine what I will achieve after completing it with consistency. Thank you @TheOyinbooke for this opportunity. https://t.co/BkxE6gEeH4,3,0,0,0
724,2022-06-20 20:06:42+00:00,https://twitter.com/Kennytheanalys/status/1538976655078719488,Kennytheanalys,Twitter Web App,NG ,"8days in #NG30DaysOfLearning recap:
* Data analysis using python popular libraries
* Training a Regression model.
* Introduction to Power platform.
* How to build a canvas app and model driven app in PowerApp studio. https://t.co/QQMRoxEpV5",6,0,0,2
725,2022-06-20 19:51:22+00:00,https://twitter.com/TheOyinbooke/status/1538972796688162820,TheOyinbooke,Twitter for Android,Nigeria,"Right on this webpage lies a knowledge repository that can change your career
You will see links to all the daily learning activities.

Why not take advantage of this.
Check it out.
https://t.co/n8qVMSLM0y
#30DaysOfLearning",55,15,1,1
726,2022-06-20 19:49:39+00:00,https://twitter.com/TheOyinbooke/status/1538972366306525185,TheOyinbooke,Twitter for Android,Nigeria,"After #30DaysOfLearning, my focus will be to support all the participants with how they can be in a better position for a job with their skills.
This will be the game changer! Let's make it transformational 🔥",92,16,0,4
727,2022-06-20 18:35:56+00:00,https://twitter.com/Zuba6Zubair/status/1538953814732066819,Zuba6Zubair,Twitter for iPhone,Nigeria,Thanks to @TheOyinbooke for the #NG30DaysOfLearning,0,0,0,0
728,2022-06-20 18:12:59+00:00,https://twitter.com/oye__aashu/status/1538948041146781700,oye__aashu,Twitter Web App,"Nainital, India","Day 1/ #30DaysOfLearning Made a Drum Kit.
I started this challenge to strengthen my JavaScript skills, after using ReactJS for some time I felt that making UI and managing states is kinda easy but the logical part needs more grinding.🥴
recourse: @wesbos #CodeNewbies #javascript https://t.co/SqXgqvxVut",1,5,0,0
